bank,bank_level,bank_code,detail,type,type_id,atm,branch,office,address,dia_chi_cu_the,ward_id,outlet,ward,ward_pop,district,district_id,ward_level,district_level,formatted_address,latitude,longitude,cluster_name,cluster_id,cluster_desc
Agribank,Big,3,Trung Hoa,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Trung Hoa, Xa Van Thang, Huyen Ba Vi, Ha Noi, Viet Nam","Thôn Chợ Mơ, Xã Vạn Thắng, Huyện Ba Vì, Thành phố Hà Nội",9634,1,Xa Van Thang,15446,Huyen Ba Vi,271,Xa,Huyen,"Chợ Mơ, Ba Vì, Hà Nội, Vietnam",21.2409529,105.3878633,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Linh Dam,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Linh Dam, Xa Van Phuc, Huyen Phuc Tho, Ha Noi, Viet Nam","Khu kiốt Chợ Bãi, Xã Vân Phúc, Huyện Phúc Thọ, Thành phố Hà Nội",9721,1,Xa Van Phuc,6314,Huyen Phuc Tho,272,Xa,Huyen,"P. Mới An, Thọ An, Đan Phượng, Hà Nội, Vietnam",21.1273678,105.6412965,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,An Duong,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-An Duong, Xa Van Noi, Huyen Dong Anh, Ha Noi, Viet Nam","Phố Vân Trì, Xã Vân Nội, Huyện Đông Anh, Thành phố Hà Nội",481,1,Xa Van Noi,12836,Huyen Dong Anh,17,Xa,Huyen,"Đường Bắc Thăng Long, Khu Vực Xã, Đông Anh, Hà Nội, Vietnam",21.110866,105.79967,Group 4,4,"Sparsely populated area, high ratio of elders"
BIDV,Big,8,PGD Van Tri,Phong giao dich,office,0,0,1,"Phong giao dich BIDV-PGD Van Tri, Xa Van Noi, Huyen Dong Anh, Ha Noi, Viet Nam","153-155 Phố Vân Tri,Xã Vân Nội,Huyện Đông Anh, Thành phố Hà Nội,",481,1,Xa Van Noi,12836,Huyen Dong Anh,17,Xa,Huyen,"Số 153-155, Khu Phố Vân Trì, Đông Anh, Hà Nội 136401, Vietnam",21.153633,105.8161385,Group 4,4,"Sparsely populated area, high ratio of elders"
Vietinbank,Big,45,PGD Van Tri. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Van Tri. , Xa Van Noi, Huyen Dong Anh, Ha Noi, Viet Nam","Số 188, phố Vân trì, xã Vân Nội, huyện Đông Anh, TP. Hà Nội",481,1,Xa Van Noi,12836,Huyen Dong Anh,17,Xa,Huyen,"Đ Vân Trì, Đông Anh, Hà Nội, Vietnam",21.1393702,105.8137416,Group 4,4,"Sparsely populated area, high ratio of elders"
Vietinbank,Big,45,CN Dong Anh,ATM,atm,1,0,0,"ATM Vietinbank-CN Dong Anh, Xa Van Noi, Huyen Dong Anh, Ha Noi, Viet Nam",Số 188 Vân Trì,481,1,Xa Van Noi,12836,Huyen Dong Anh,17,Xa,Huyen ,"Tổ 4, Thị Trấn Đông Anh, Huyện Đông Anh, Đông Anh, Hà Nội, Vietnam",21.1416759,105.8454653,Group 4,4,"Sparsely populated area, high ratio of elders"
BIDV,Big,8,214014 - ATM UBNN xa Van Noi,ATM,atm,1,0,0,"ATM BIDV-214014 - ATM UBNN xa Van Noi, Xa Van Noi, Huyen Dong Anh, Ha Noi, Viet Nam",UBNN xã Vân Nội,481,1,Xa Van Noi,12836,Huyen Dong Anh,17,Xa,Huyen ,"Vân Nội, Đông Anh, Hanoi, Vietnam",21.1527316,105.8159693,Group 4,4,"Sparsely populated area, high ratio of elders"
Agribank,Big,3,Tu Liem,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Tu Liem, Xa Van Ha, Huyen Dong Anh, Ha Noi, Viet Nam","Thôn Thiết Bình, Xã Vân Hà, Huyện Đông Anh, Thành phố Hà Nội",475,1,Xa Van Ha,11277,Huyen Dong Anh,17,Xa,Huyen,"Đ. Hà Phong, Liên Hà, Đông Anh, Hà Nội, Vietnam",21.1530137,105.8996231,Group 4,4,"Sparsely populated area, high ratio of elders"
Vietinbank,Big,45,PGD Van Ha.,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Van Ha., Xa Van Ha, Huyen Dong Anh, Ha Noi, Viet Nam"," Thôn Thiết Bình, Vân Hà, huyện Đông Anh, TP. Hà Nội",475,1,Xa Van Ha,11277,Huyen Dong Anh,17,Xa,Huyen,"Liên Hà, Vân Hà, Đông Anh, Hà Nội, Vietnam",21.1467827,105.9170812,Group 4,4,"Sparsely populated area, high ratio of elders"
DongA Bank,Small,12,Ngan hang TMCP Dong A - PGD Dong Anh,Phong giao dich,office,0,0,1,"Phong giao dich DongA Bank-Ngan hang TMCP Dong A - PGD Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","33-35 Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen,"Uy Nỗ, Đông Anh, Hanoi, Vietnam",21.1387874,105.8551812,Group 4,4,"Sparsely populated area, high ratio of elders"
ABBank,Medium,1,PGD Dong Anh,Phong giao dich,office,0,0,1,"Phong giao dich ABBank-PGD Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","01 Cao Lỗ, Thôn Phan Xá, Xã Uy Nỗ, Huyện Đông Anh, Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen,"1 Cao Lỗ, Đông Anh, Hà Nội, Vietnam",21.1409925,105.8473443,Group 4,4,"Sparsely populated area, high ratio of elders"
ACB,Big,2,PGD Dong Anh,Phong giao dich,office,0,0,1,"Phong giao dich ACB-PGD Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","25 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen,"33, 35 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội, Vietnam",21.1408615,105.8477752,Group 4,4,"Sparsely populated area, high ratio of elders"
Techcombank,Big,36,Techcombank Dong Anh,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","Số 2 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen,"Cao Lỗ, Xã Uy Lỗ, Huyện Đông Anh, Uy Nỗ, Đông Anh, Hà Nội, Vietnam",21.1366611,105.8444107,Group 4,4,"Sparsely populated area, high ratio of elders"
Vietcombank,Big,44,TRU SO CHI NHANH DONG ANH,Chi nhanh,branch,0,1,0,"Chi nhanh Vietcombank-TRU SO CHI NHANH DONG ANH, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","Thôn Nghĩa Lại, xã Uy Nỗ, Huyện Đông Anh, thành phố Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen,"QL3, Đông Anh, Hà Nội, Vietnam",21.1279409,105.8440339,Group 4,4,"Sparsely populated area, high ratio of elders"
Vietcombank,Big,44,VCBC Tru so VCB Dong Anh,ATM,atm,1,0,0,"ATM Vietcombank-VCBC Tru so VCB Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","Thôn Nghĩa Lại, X. Uy Nỗ, Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen ,"Đông Anh, Hà Nội, Vietnam",21.1398925,105.8448915,Group 4,4,"Sparsely populated area, high ratio of elders"
ACB,Big,2,"ATM, ATM PGD DONG ANH",ATM,atm,1,0,0,"ATM ACB-ATM, ATM PGD DONG ANH, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","199 Cao Lỗ, X.Uy Nỗ, H.Đông Anh, TP.Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen ,"25 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội, Vietnam",21.1396963,105.8540715,Group 4,4,"Sparsely populated area, high ratio of elders"
Techcombank,Big,36,Techcombank Dong Anh,ATM,atm,1,0,0,"ATM Techcombank-Techcombank Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","Số 2 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen ,"Cao Lỗ, Xã Uy Lỗ, Huyện Đông Anh, Uy Nỗ, Đông Anh, Hà Nội, Vietnam",21.1366611,105.8444107,Group 4,4,"Sparsely populated area, high ratio of elders"
ABBank,Medium,1,ATM Dong Anh,ATM,atm,1,0,0,"ATM ABBank-ATM Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","01 Cao Lỗ, Thôn Phan Xá, Xã Uy Nỗ, Huyện Đông Anh, TP. Hà Nội",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen ,"Số 01 Cao Lỗ, Uy Lỗ,, Uy Nỗ, Đông Anh, Hà Nội, Vietnam",21.1410925,105.8474114,Group 4,4,"Sparsely populated area, high ratio of elders"
DongA Bank,Small,12,DongA Bank - PGD Dong Anh,ATM,atm,1,0,0,"ATM DongA Bank-DongA Bank - PGD Dong Anh, Xa Uy No, Huyen Dong Anh, Ha Noi, Viet Nam","257 Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",478,1,Xa Uy No,21464,Huyen Dong Anh,17,Xa,Huyen ,"Cao Lỗ, Đông Anh, Hà Nội, Vietnam",21.141179,105.846281,Group 4,4,"Sparsely populated area, high ratio of elders"
Sacombank,Big,29,ATM 1774-TTDVKH VT Ha Noi,ATM,atm,1,0,0,"ATM Sacombank-ATM 1774-TTDVKH VT Ha Noi, Xa Tu Hiep, Huyen Thanh Tri, Ha Noi, Viet Nam",": Khu đô thị Pháp Vân, Tứ Hiệp, Thanh Trì, Hà Nội",658,1,Xa Tu Hiep,19420,Huyen Thanh Tri,20,Xa,Huyen ,"337 Đ. Ngọc Hồi, Văn Điển, Thanh Trì, Hà Nội, Vietnam",20.9477934,105.8444363,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Tran Hung Dao,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Tran Hung Dao, Xa Truong Thinh, Huyen Ung Hoa, Ha Noi, Viet Nam","Thôn Trung Thinh, Xã Trường Thịnh, Huyện Ứng Hoà, Thành phố Hà Nội",10369,1,Xa Truong Thinh,7254,Huyen Ung Hoa,281,Xa,Huyen,"Trường Thịnh, Ứng Hòa, Hanoi, Vietnam",20.7666836,105.7686344,Group 2,2,"Population ages are uniformly distributed, low number of households"
Techcombank,Big,36,Techcombank Big C,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Big C, Xa Trung Hoa, Huyen Chuong My, Ha Noi, Viet Nam","16 lô 11A Trung Hoà, Cầu Giấy, Hà Nội",10051,1,Xa Trung Hoa,11405,Huyen Chuong My,277,Xa,Huyen,"Quốc lộ 6, TT. Xuân Mai, Chương Mỹ, Hà Nội, Vietnam",20.899861,105.577986,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Nguyen Thi Dinh,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Nguyen Thi Dinh, Xa Trung Hoa, Huyen Chuong My, Ha Noi, Viet Nam","Tầng 1, Tòa nhà 18T1 Khu Đô Thị Trung Hòa Nhân Chính, Cầu Giấy, Hà Nội",10051,1,Xa Trung Hoa,11405,Huyen Chuong My,277,Xa,Huyen,"Tầng 1, tòa nhà 29T2, khuôn viên N05 dự án Đông Nam Trần Duy Hưng, phố Hoàng Đạo Thúy, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0070612,105.8021534,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Tran Duy Hung,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Tran Duy Hung, Xa Trung Hoa, Huyen Chuong My, Ha Noi, Viet Nam","Tầng 1 - CT1, Tòa nhà Vimeco, Nguyễn Chánh, Cầu Giấy, Hà Nội",10051,1,Xa Trung Hoa,11405,Huyen Chuong My,277,Xa,Huyen,"Tầng 1, tòa nhà 29T2, khuôn viên N05 dự án Đông Nam Trần Duy Hưng, phố Hoàng Đạo Thúy, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0070612,105.8021534,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Trung Hoa,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Trung Hoa, Xa Trung Hoa, Huyen Chuong My, Ha Noi, Viet Nam","Cánh 3 Tầng 1 Tòa nhà Trung Yên Plaza, Khu đô thị Trung Yên,Phường Trung Hòa, Cầu Giấy, Hà Nội",10051,1,Xa Trung Hoa,11405,Huyen Chuong My,277,Xa,Huyen,"Techcombank Tower, 191 Bà Triệu, P, Hai Bà Trưng, Hà Nội, Vietnam",21.0057826,105.7946213,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Trung Yen,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Trung Yen, Xa Trung Hoa, Huyen Chuong My, Ha Noi, Viet Nam","Số 12 lô 1B KĐT Trung Yên, Cầu Giấy, Hà Nội",10051,1,Xa Trung Hoa,11405,Huyen Chuong My,277,Xa,Huyen,"Quốc lộ 6, TT. Xuân Mai, Chương Mỹ, Hà Nội, Vietnam",20.899861,105.577986,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Lac Trung,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Lac Trung, Xa Trung Gia, Huyen Soc Son, Ha Noi, Viet Nam","Đường III, Xã Trung Giã, Huyện Sóc Sơn, Thành phố Hà Nội",391,1,Xa Trung Gia,14732,Huyen Soc Son,16,Xa,Huyen,"QL3, Trung Giã, Sóc Sơn, Hà Nội, Vietnam",21.3136049,105.867623,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Pho Ny. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Pho Ny. , Xa Trung Gia, Huyen Soc Son, Ha Noi, Viet Nam","Số nhà 11, Phố Nỷ, xã Trung Giã, Huyện Sóc Sơn, TP. Hà Nội",391,1,Xa Trung Gia,14732,Huyen Soc Son,16,Xa,Huyen,"phố Nỉ, Sóc Sơn, Hà Nội, Vietnam",21.3128301,105.8677144,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,,ATM,atm,1,0,0,"ATM Agribank, PGD Ny, Trung Gia, Soc Son, Ha Noi, Viet Nam","PGD Ny, Trung Gia, Soc Son, Ha Noi",391,1,Xa Trung Gia,14732,Huyen Soc Son,16,Xa,Huyen ,"Xã Trung Giã, Huyện Sóc Sơn, Thành Phố Hà Nội, Thành Phố Hà Nội, Trung Giã, Sóc Sơn, Hà Nội, Vietnam",21.3132999,105.8675428,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,,ATM,atm,1,0,0,"ATM Agribank, CTy TNHH Yamaha Moto Viet Nam, Trung Gia, Soc Son, Viet Nam","CTy TNHH Yamaha Moto Viet Nam, Trung Gia, Soc Son",391,1,Xa Trung Gia,14732,Huyen Soc Son,16,Xa,Huyen ,"Mai Đình, Sóc Sơn, Hanoi, Vietnam",21.2311759,105.8170148,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Bac Thang Long,ATM,atm,1,0,0,"ATM Vietinbank-CN Bac Thang Long, Xa Trung Gia, Huyen Soc Son, Ha Noi, Viet Nam","Phố Nỉ, Trung Giã",391,1,Xa Trung Gia,14732,Huyen Soc Son,16,Xa,Huyen ,"phố Nỉ, Sóc Sơn, Hà Nội, Vietnam",21.3128301,105.8677144,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Ho Guom,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Ho Guom, Xa Tri Thuy, Huyen Phu Xuyen, Ha Noi, Viet Nam","Thôn Hoàng Nguyên, Xã Tri Thuỷ, Huyện Phú Xuyên, Thành phố Hà Nội",10333,1,Xa Tri Thuy,10040,Huyen Phu Xuyen,280,Xa,Huyen,"218 Xóm Mới, QL1A, Đại Xuyên, Phú Xuyên, Hà Nội, Vietnam",20.7059405,105.9107532,Group 2,2,"Population ages are uniformly distributed, low number of households"
Agribank,Big,3,Tu Liem,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Tu Liem, Xa Tran Phu, Huyen Chuong My, Ha Noi, Viet Nam","Thôn Miếu Môn, Xã Trần Phú, Huyện Chương Mỹ, Thành phố Hà Nội",10099,1,Xa Tran Phu,9550,Huyen Chuong My,277,Xa,Huyen,"189 Xuân Đỉnh, Phường Xuân Đỉnh Q. Bắc Từ Liêm, Xuân Đỉnh, Hà Nội, Vietnam",21.071387,105.7960382,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3, My Dinh,Phong giao dich,office,0,0,1,"Phong giao dich Agribank- My Dinh, Xa To Hieu, Huyen Thuong Tin, Ha Noi, Viet Nam","Thôn Tử Dương, Xã Tô Hiệu, Huyện Thường Tín, Thành phố Hà Nội",10258,1,Xa To Hieu,12383,Huyen Thuong Tin,279,Xa,Huyen,"Phố tía xã Tô hiệu Huyện Thường Tín, Tô Hiệu, Thường Tín, Hà Nội, Vietnam",20.8059004,105.8833448,Group 2,2,"Population ages are uniformly distributed, low number of households"
Agribank,Big,3,,ATM,atm,1,0,0,"ATM Agribank, Tu Duong, To Hieu, Thuong Tin, Ha Noi, Viet Nam","Tu Duong, To Hieu, Thuong Tin, Ha Noi",10258,1,Xa To Hieu,12383,Huyen Thuong Tin,279,Xa,Huyen ,"107 Phố Tía, Tô Hiệu, Thường Tín, Hà Nội, Vietnam",20.8034097,105.8813756,Group 2,2,"Population ages are uniformly distributed, low number of households"
Agribank,Big,3,Trang An,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Trang An, Xa Tien Phong, Huyen Ba Vi, Ha Noi, Viet Nam","Thôn Thanh Lũng, Xã Tiên Phong, Huyện Ba Vì, Thành phố Hà Nội",9682,1,Xa Tien Phong,8103,Huyen Ba Vi,271,Xa,Huyen,"Tiên Phong, Ba Vì, Hà Nội, Vietnam",21.1719173,105.4273093,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Cat Linh,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Cat Linh, Xa Tien Phong, Huyen Me Linh, Ha Noi, Viet Nam","Phố Yên, Xã Tiền Phong, Huyện Mê Linh, Thành phố Hà Nội",9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen,"Tiền Phong, Mê Linh, Hanoi, Vietnam",21.1557257,105.7616324,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Tien Phong. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Tien Phong. , Xa Tien Phong, Huyen Me Linh, Ha Noi, Viet Nam","Phố Yên Tiền Phong Mê Linh, Huyện Mê Linh, TP. Hà Nội",9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen,"Xã Tiền Phong, Huyện Mê Linh, Tiền Phong, Mê Linh, Hà Nội, Vietnam",21.1511282,105.7573191,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
SH Bank,Big,33,Phong GD Me Linh,Phong giao dich,office,0,0,1,"Phong giao dich SHB-Phong GD Me Linh, Xa Tien Phong, Huyen Me Linh, Ha Noi, Viet Nam","Khu 7, phố Yên, Tiền Phong, Mê Linh, TP.Hà Nội",9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen,"Phố Yên, Tiền Phong, Mê Linh, Hà Nội, Vietnam",21.1511003,105.7573932,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Me Linh,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Me Linh, Xa Tien Phong, Huyen Me Linh, Ha Noi, Viet Nam","Phố Yên, Tiền Phong, Mê Linh, Hà Nội",9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen,"Yên Nhân, Mê Linh, Hà Nội, Vietnam",21.1500569,105.757278,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,,ATM,atm,1,0,0,"ATM Agribank, Pho Yen Tien Phong, Me Linh, Ha Noi, Viet Nam","Pho Yen Tien Phong, Me Linh, Ha Noi",9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen ,"Phố Yên, Tiền Phong, Mê Linh, Hà Nội, Vietnam",21.1557812,105.7616275,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Me Linh,ATM,atm,1,0,0,"ATM Techcombank-Techcombank Me Linh, Xa Tien Phong, Huyen Me Linh, Ha Noi, Viet Nam","Phố Yên, Tiền Phong, Mê Linh, Hà Nội",9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen ,"Yên Nhân, Mê Linh, Hà Nội, Vietnam",21.1500569,105.757278,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN KCN Quang Minh,ATM,atm,1,0,0,"ATM Vietinbank-CN KCN Quang Minh, Xa Tien Phong, Huyen Me Linh, Ha Noi, Viet Nam",UBND xã Tiền Phong,9019,1,Xa Tien Phong,19493,Huyen Me Linh,250,Xa,Huyen ,"Khu Công Nghiệp Quang Minh, Quang Minh, Mê Linh, Hà Nội, Vietnam",21.1818258,105.779213,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
